City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,linhares,-19.3911,-40.0722,302.46,55,38,5.66,BR,1697570469
84,mermoz boabab,14.7065,-17.4758,302.03,79,75,2.06,SN,1697570469
85,stanley,54.868,-1.6985,281.64,94,20,2.06,GB,1697570470
86,winslow,35.0242,-110.6974,299.25,15,0,0.0,US,1697570470
87,okha,53.5739,142.9478,279.29,88,100,4.61,RU,1697570470
88,phra pradaeng,13.6585,100.5336,302.12,90,60,1.36,TH,1697570470
89,berezovo,63.9381,65.0419,279.8,85,100,5.36,RU,1697570470
90,kodiak,57.79,-152.4072,281.88,81,20,3.09,US,1697570155
91,haapsalu,58.9431,23.5414,282.54,85,100,1.58,EE,1697570470
92,reggane,26.7158,0.1714,303.15,14,1,2.32,DZ,1697570400
93,morondava,-20.2833,44.2833,298.62,71,87,3.14,MG,1697570471
94,bilibino,68.0546,166.4372,258.13,100,100,1.11,RU,1697570319
95,invercargill,-46.4,168.35,280.38,81,100,1.79,NZ,1697570471
96,agadez,19.75,10.25,302.56,14,32,3.43,NE,1697570471
97,chui,-33.6971,-53.4616,288.43,59,3,7.69,UY,1697570471
98,duba,27.3513,35.6901,299.97,60,0,3.4,SA,1697570471
99,pandan,14.0453,124.1694,299.6,87,42,4.92,PH,1697570472
100,shiqi,22.5168,113.3852,299.1,74,100,4.23,CN,1697570472
101,cosala,24.4125,-106.6908,306.75,32,2,1.56,MX,1697570472
102,tura,25.5198,90.2201,292.98,90,0,1.56,IN,1697570472
103,isafjordur,66.0755,-23.124,278.56,92,100,5.93,IS,1697570472
104,kingston,17.997,-76.7936,305.68,68,20,4.63,JM,1697570321
105,qaqortoq,60.7167,-46.0333,273.86,59,8,5.09,GL,1697570472
106,east london,-33.0153,27.9116,291.32,77,4,8.77,ZA,1697570472
107,kinel',53.2333,50.65,279.86,64,35,6.07,RU,1697570473
108,ranau,5.9538,116.6641,294.68,98,94,0.33,MY,1697570473
109,sinabang,2.4803,96.3801,298.28,85,100,1.47,ID,1697570305
110,punta arenas,-53.15,-70.9167,284.21,62,75,9.77,CL,1697570473
111,yarmouth,41.7057,-70.2286,288.72,83,100,4.47,US,1697570473
